3.506638325484352503e-01,3.993775125462807607e-02,7.702681361772147905e-01
2.225415201368586560e-01,2.774649468484177151e-01,8.228162893681418844e-01
1.539644468036579505e-01,3.932091222442526957e-01,1.341139315736524229e-01
6.630319254406745744e-01,6.662300409882865315e-01,9.781920080647580340e-01
6.503273569245660024e-02,4.250773825577501275e-01,9.587212370470797884e-01
5.380918571083755930e-01,3.226960828317663177e-01,3.425423618862317721e-01
1.858680948742236216e-01,8.748085666664141835e-02,5.183261393020440755e-01
8.683596189188448333e-01,-1.081580937298867728e-02,2.946925251787733679e-01
5.694491423251082374e-01,9.311947869830423663e-01,3.561670482663244486e-01
1.974995799828381249e-01,7.567176889125176720e-01,1.380410902533991124e-01
4.692771619551854290e-01,5.959976127653685563e-01,1.154732486150347182e+00
8.614778517030888816e-01,-7.283079803166425670e-02,7.749809278014560543e-02
4.435840128443531705e-01,8.114044428047413327e-01,8.162614197860736942e-01
2.014741951914678086e-01,1.181144959449331733e-02,5.546499677161514930e-01
7.394272555505279065e-01,7.736654580052912955e-01,1.506915725897000069e-01
7.811119903372698570e-01,8.499355320840650263e-01,2.305272164320361361e-01
6.159194774401541839e-01,3.872771936343687993e-01,5.561559773939387386e-01
6.223831900650991233e-01,8.353312413719810037e-01,2.596835346150346280e-01
1.307865207785222639e-01,3.652958077384885760e-01,5.095478699252239396e-01
7.428420864464975182e-01,4.251807669810600543e-01,8.409977340752584629e-01
7.299677381777099905e-01,6.104215713211254279e-02,8.991998137321927098e-01
9.619857031249359203e-01,8.274408118101973519e-01,2.344286414673151658e-02
3.170518691244377796e-01,7.294737026981226169e-01,8.809868523387507366e-01
8.204667887020172801e-01,7.342305771370369327e-02,6.127727090772565610e-01
4.585879223849843034e-01,-1.938921503866262996e-02,7.984108188346108470e-01
1.698121542326700914e-02,7.683630298345260901e-01,5.902766690701951591e-01
1.546065190965224545e-01,5.854777514506153135e-01,3.796616380279542735e-01
4.093926281614833629e-01,7.669323046836246105e-01,6.892383666794493768e-01
8.138531958154909818e-01,3.015586106994748161e-01,5.035054267870930911e-01
3.224945050364431132e-01,1.051785190669994874e+00,2.018656649867936193e-01
